Date	ID-Product	Units	Revenue Discount	Net Cost Equivalent COGS
12/3/2017	BK-40-2	11	0.12	1.01
12/10/2017	MB-30-16	3	0.03	1
12/12/2017	C-30-5	37	0.4375	0.98
5/24/2017	B-30-3	108	0.55	0.94
1/21/2017	Y-10-20	1	0	1.01
11/29/2017	GY-60-13	107	0.55	0.92
12/22/2017	BK-40-2	10	0.12	1
12/2/2017	EK-40-9	108	0.55	0.96
11/22/2017	CB-10-7	96	0.5	0.98
12/2/2017	MB-30-16	1	0	1.02
12/14/2017	EK-40-9	1	0	1.02
8/15/2017	CB-10-7	10	0.12	1
11/21/2017	JB-50-14	13	0.12	1.02
6/3/2017	EK-40-9	108	0.55	0.99
5/12/2017	BK-40-2	1	0	1
11/24/2017	Q-30-17	10	0.12	1.02
7/12/2017	C-30-5	1	0	1.01
4/20/2017	D-30-11	4	0.04	1.02
6/4/2017	Q-30-17	104	0.55	0.96
12/14/2017	BK-40-2	2	0.02	1
7/13/2017	Q-30-17	144	0.575	0.94
6/23/2017	DS-50-8	3	0.03	1.03
4/19/2017	S-30-18	13	0.12	0.99
4/17/2017	DS-50-8	23	0.225	1
12/18/2017	B-30-3	1	0	0.99
12/18/2017	JB-50-14	8	0.05	1
12/1/2017	BK-40-2	7	0.05	1.02
8/11/2017	Q-30-17	8	0.05	0.99
12/1/2017	Y-10-20	48	0.4375	0.99
12/23/2017	BK-40-2	115	0.55	0.95
5/19/2017	BK-40-2	2	0.02	1.01
4/16/2017	BK-40-2	2	0.02	0.99
11/27/2017	DS-50-8	11	0.12	1.03
12/18/2017	Q-30-17	48	0.4375	0.98
8/7/2017	Q-30-17	125	0.575	0.96
12/23/2017	GY-60-13	10	0.12	1.01
7/30/2017	Y-10-20	12	0.12	1
12/18/2017	BK-40-2	20	0.225	1.02
2/16/2017	BK-40-2	1	0	0.99
2/21/2017	MB-30-16	45	0.4375	0.99
5/28/2017	MB-30-16	72	0.4375	0.96
11/16/2017	A-10-1	1	0	0.99
12/13/2017	CY-60-6	60	0.4375	0.94
